기간,자치구,세대,합계,남자,여자,한국인 계,한국인 남자,한국인 여자,등록외국인 계,등록외국인 남자,등록외국인 여자,세대당인구,65세이상고령자,권역,고령자비율,외국인비율,여성비율
2020.1/4,양천구,177436,460532,226109,234423,456339,224241,232098,4193,1868,2325,2.57,62761,서남권,13.627934649492326,0.9104687622141349,5.090265171584168
2020.1/4,서초구,173580,434801,207877,226924,430568,205787,224781,4233,2090,2143,2.48,58332,동남권,13.415792511976743,0.9735488188849611,5.21903123497876
2020.1/4,노원구,217148,535495,258696,276799,531037,256726,274311,4458,1970,2488,2.45,82682,동북권,15.440293560163962,0.8325007703153158,5.169030523160814
2020.1/4,송파구,279301,680883,329058,351825,674095,325859,348236,6788,3199,3589,2.41,89539,동남권,13.150423787934198,0.9969407372485435,5.1671873141200475
2020.1/4,도봉구,138595,333495,162774,170721,331238,161879,169359,2257,895,1362,2.39,60023,동북권,17.99817088711975,0.6767717656936386,5.119147213601404
2020.1/4,강동구,190019,457042,225226,231816,452646,223189,229457,4396,2037,2359,2.38,66401,동남권,14.528424083563435,0.9618372053334268,5.072094030745533
2020.1/4,강남구,233624,549898,263163,286735,544804,260654,284150,5094,2509,2585,2.33,72602,동남권,13.2028121578911,0.926353614670357,5.214330657685608
2020.1/4,은평구,208209,482509,231953,250556,478019,230147,247872,4490,1806,2684,2.3,82245,서북권,17.045277911914596,0.9305525907288775,5.192773606295427
2020.1/4,구로구,177275,438308,218970,219338,405837,200558,205279,32471,18412,14059,2.29,67432,서남권,15.384615384615385,7.408260857661736,5.004197961250992
2020.1/4,성북구,193801,454532,218561,235971,442494,213926,228568,12038,4635,7403,2.28,72172,동북권,15.87830999797594,2.6484383937764555,5.191515668863799
2020.1/4,강서구,263645,595703,288134,307569,589302,285085,304217,6401,3049,3352,2.24,85992,서남권,14.435381389719373,1.0745287500650493,5.163126591606892
2020.1/4,서대문구,142109,325875,154502,171373,312642,150051,162591,13233,4451,8782,2.2,53038,서북권,16.275565784426544,4.060759493670886,5.25885692366705
2020.1/4,성동구,135643,307193,149891,157302,299042,146300,152742,8151,3591,4560,2.2,44728,동북권,14.560227609353078,2.6533807736504413,5.12062449339666
2020.1/4,중랑구,182220,400678,198122,202556,395619,196076,199543,5059,2046,3013,2.17,66764,동북권,16.66275662751636,1.2626098762597397,5.055331213592959
2020.1/4,동작구,181761,407802,196943,210859,395014,191272,203742,12788,5671,7117,2.17,63378,서남권,15.541365662748099,3.1358355280258556,5.170622017547731
2020.1/4,강북구,144805,316750,154141,162609,312985,152747,160238,3765,1394,2371,2.16,61660,동북권,19.466456195737962,1.1886345698500393,5.133670086819259
2020.1/4,마포구,176133,386086,181204,204882,374570,176943,197627,11516,4261,7255,2.13,53283,서북권,13.800811218225991,2.982755137456422,5.306641525463239
2020.1/4,광진구,165287,365990,176226,189764,350417,169568,180849,15573,6658,8915,2.12,48989,동북권,13.385338397223967,4.255034290554387,5.1849504084811056
2020.1/4,동대문구,165279,362793,178202,184591,346156,171896,174260,16637,6306,10331,2.09,60367,동북권,16.63951619794208,4.585810641329904,5.088052966843351
2020.1/4,금천구,111542,251370,128643,122727,232583,118044,114539,18787,10599,8188,2.09,38508,서남권,15.319250507220433,7.473843338504993,4.8823248597684685
2020.1/4,영등포구,177743,404766,202617,202149,371903,184316,187587,32863,18301,14562,2.09,59373,서남권,14.66847511895762,8.119011972349456,4.994218882020723
2020.1/4,용산구,110895,246165,119961,126204,229579,110667,118912,16586,9294,7292,2.07,39439,도심권,16.02136778177239,6.737757195377085,5.126805191639754
2020.1/4,종로구,74151,161984,78271,83713,151217,73704,77513,10767,4567,6200,2.04,28073,도심권,17.330724022125644,6.646952785460293,5.167979553536152
2020.1/4,중구,63045,136469,66769,69700,126175,61839,64336,10294,4930,5364,2.0,23794,도심권,17.435461533388537,7.543105027515407,5.107387025624868
2020.1/4,관악구,270760,516662,258982,257680,499374,250743,248631,17288,8239,9049,1.84,76664,서남권,14.838327571990973,3.3460947389202222,4.98739988619252
